Group,Variable,Value,,,,,,,,,,,
June,1992,0.25,,,,,,,,,,,
July,1992,0.08,,,,,,,,,,,
August,1992,0.08,,,,,,,,,,,
September,1992,-0.01,,,,,,,,,,,
October,1992,0.06,,,,,,,,,,,
November,1992,0.02,,,,,,,,,,,
December,1992,0.21,,,,,,,,,,,
January,1993,0.34,,,,,,,,,,,
February,1993,0.37,,,,,,,,,,,
March,1993,0.36,,,,,,,,,,,
April,1993,0.27,,,,,,,,,,,
May,1993,0.28,,,,,,,,,,,
June,1993,0.23,,,,,,,,,,,
July,1993,0.25,,,,,,,,,,,
August,1993,0.11,,,,,,,,,,,
September,1993,0.12,,,,,,,,,,,
October,1993,0.23,,,,,,,,,,,
November,1993,0.04,,,,,,,,,,,
December,1993,0.18,,,,,,,,,,,
January,1994,0.26,,,,,,,,,,,
February,1994,0.02,,,,,,,,,,,
March,1994,0.3,,,,,,,,,,,
April,1994,0.4,,,,,,,,,,,
May,1994,0.27,,,,,,,,,,,
June,1994,0.43,,,,,,,,,,,
July,1994,0.3,,,,,,,,,,,
August,1994,0.22,,,,,,,,,,,
September,1994,0.32,,,,,,,,,,,
October,1994,0.41,,,,,,,,,,,
November,1994,0.44,,,,,,,,,,,
December,1994,0.38,,,,,,,,,,,
January,1995,0.52,,,,,,,,,,,
February,1995,0.79,,,,,,,,,,,
March,1995,0.47,,,,,,,,,,,
April,1995,0.46,,,,,,,,,,,
May,1995,0.28,,,,,,,,,,,
June,1995,0.42,,,,,,,,,,,
July,1995,0.45,,,,,,,,,,,
August,1995,0.46,,,,,,,,,,,
September,1995,0.34,,,,,,,,,,,
October,1995,0.47,,,,,,,,,,,
November,1995,0.44,,,,,,,,,,,
December,1995,0.25,,,,,,,,,,,
January,1996,0.24,,,,,,,,,,,
February,1996,0.46,,,,,,,,,,,
March,1996,0.33,,,,,,,,,,,
April,1996,0.32,,,,,,,,,,,
May,1996,0.28,,,,,,,,,,,
June,1996,0.25,,,,,,,,,,,
July,1996,0.36,,,,,,,,,,,
August,1996,0.48,,,,,,,,,,,
September,1996,0.25,,,,,,,,,,,
October,1996,0.19,,,,,,,,,,,
November,1996,0.39,,,,,,,,,,,
December,1996,0.37,,,,,,,,,,,
January,1997,0.3,,,,,,,,,,,
February,1997,0.41,,,,,,,,,,,
March,1997,0.52,,,,,,,,,,,
April,1997,0.35,,,,,,,,,,,
May,1997,0.36,,,,,,,,,,,
June,1997,0.54,,,,,,,,,,,
July,1997,0.34,,,,,,,,,,,
August,1997,0.43,,,,,,,,,,,
September,1997,0.52,,,,,,,,,,,
October,1997,0.6,,,,,,,,,,,
November,1997,0.64,,,,,,,,,,,
December,1997,0.58,,,,,,,,,,,
January,1998,0.58,,,,,,,,,,,
February,1998,0.87,,,,,,,,,,,
March,1998,0.64,,,,,,,,,,,
April,1998,0.64,,,,,,,,,,,
May,1998,0.66,,,,,,,,,,,
June,1998,0.76,,,,,,,,,,,
July,1998,0.68,,,,,,,,,,,
August,1998,0.66,,,,,,,,,,,
September,1998,0.42,,,,,,,,,,,
October,1998,0.42,,,,,,,,,,,
November,1998,0.44,,,,,,,,,,,
December,1998,0.56,,,,,,,,,,,
January,1999,0.49,,,,,,,,,,,
February,1999,0.65,,,,,,,,,,,
March,1999,0.32,,,,,,,,,,,
April,1999,0.33,,,,,,,,,,,
May,1999,0.27,,,,,,,,,,,
June,1999,0.36,,,,,,,,,,,
July,1999,0.38,,,,,,,,,,,
August,1999,0.32,,,,,,,,,,,
September,1999,0.39,,,,,,,,,,,
October,1999,0.34,,,,,,,,,,,
November,1999,0.37,,,,,,,,,,,
December,1999,0.42,,,,,,,,,,,
January,2000,0.26,,,,,,,,,,,
February,2000,0.56,,,,,,,,,,,
March,2000,0.55,,,,,,,,,,,
April,2000,0.57,,,,,,,,,,,
May,2000,0.35,,,,,,,,,,,
June,2000,0.39,,,,,,,,,,,
July,2000,0.38,,,,,,,,,,,
August,2000,0.42,,,,,,,,,,,
September,2000,0.4,,,,,,,,,,,
October,2000,0.28,,,,,,,,,,,
November,2000,0.31,,,,,,,,,,,
December,2000,0.29,,,,,,,,,,,
January,2001,0.46,,,,,,,,,,,
February,2001,0.44,,,,,,,,,,,
March,2001,0.56,,,,,,,,,,,
April,2001,0.51,,,,,,,,,,,
May,2001,0.58,,,,,,,,,,,
June,2001,0.52,,,,,,,,,,,
July,2001,0.59,,,,,,,,,,,
August,2001,0.5,,,,,,,,,,,
September,2001,0.52,,,,,,,,,,,
October,2001,0.51,,,,,,,,,,,
November,2001,0.73,,,,,,,,,,,
December,2001,0.56,,,,,,,,,,,
January,2002,0.78,,,,,,,,,,,
February,2002,0.79,,,,,,,,,,,
March,2002,0.88,,,,,,,,,,,
April,2002,0.58,,,,,,,,,,,
May,2002,0.63,,,,,,,,,,,
June,2002,0.53,,,,,,,,,,,
July,2002,0.61,,,,,,,,,,,
August,2002,0.53,,,,,,,,,,,
September,2002,0.64,,,,,,,,,,,
October,2002,0.54,,,,,,,,,,,
November,2002,0.59,,,,,,,,,,,
December,2002,0.44,,,,,,,,,,,
January,2003,0.75,,,,,,,,,,,
February,2003,0.58,,,,,,,,,,,
March,2003,0.6,,,,,,,,,,,
April,2003,0.55,,,,,,,,,,,
May,2003,0.61,,,,,,,,,,,
June,2003,0.48,,,,,,,,,,,
July,2003,0.58,,,,,,,,,,,
August,2003,0.65,,,,,,,,,,,
September,2003,0.63,,,,,,,,,,,
October,2003,0.74,,,,,,,,,,,
November,2003,0.53,,,,,,,,,,,
December,2003,0.75,,,,,,,,,,,
January,2004,0.58,,,,,,,,,,,
February,2004,0.73,,,,,,,,,,,
March,2004,0.63,,,,,,,,,,,
April,2004,0.61,,,,,,,,,,,
May,2004,0.39,,,,,,,,,,,
June,2004,0.44,,,,,,,,,,,
July,2004,0.27,,,,,,,,,,,
August,2004,0.47,,,,,,,,,,,
September,2004,0.51,,,,,,,,,,,
October,2004,0.61,,,,,,,,,,,
November,2004,0.73,,,,,,,,,,,
December,2004,0.51,,,,,,,,,,,
January,2005,0.75,,,,,,,,,,,
February,2005,0.6,,,,,,,,,,,
March,2005,0.74,,,,,,,,,,,
April,2005,0.68,,,,,,,,,,,
May,2005,0.63,,,,,,,,,,,
June,2005,0.65,,,,,,,,,,,
July,2005,0.62,,,,,,,,,,,
August,2005,0.62,,,,,,,,,,,
September,2005,0.72,,,,,,,,,,,
October,2005,0.75,,,,,,,,,,,
November,2005,0.74,,,,,,,,,,,
December,2005,0.68,,,,,,,,,,,
January,2006,0.56,,,,,,,,,,,
February,2006,0.73,,,,,,,,,,,
March,2006,0.63,,,,,,,,,,,
April,2006,0.49,,,,,,,,,,,
May,2006,0.5,,,,,,,,,,,
June,2006,0.66,,,,,,,,,,,
July,2006,0.55,,,,,,,,,,,
August,2006,0.71,,,,,,,,,,,
September,2006,0.65,,,,,,,,,,,
October,2006,0.69,,,,,,,,,,,
November,2006,0.73,,,,,,,,,,,
December,2006,0.79,,,,,,,,,,,
January,2007,1.02,,,,,,,,,,,
February,2007,0.7,,,,,,,,,,,
March,2007,0.72,,,,,,,,,,,
April,2007,0.75,,,,,,,,,,,
May,2007,0.68,,,,,,,,,,,
June,2007,0.61,,,,,,,,,,,
July,2007,0.6,,,,,,,,,,,
August,2007,0.6,,,,,,,,,,,
September,2007,0.6,,,,,,,,,,,
October,2007,0.59,,,,,,,,,,,
November,2007,0.58,,,,,,,,,,,
December,2007,0.49,,,,,,,,,,,
January,2008,0.3,,,,,,,,,,,
February,2008,0.38,,,,,,,,,,,
March,2008,0.74,,,,,,,,,,,
April,2008,0.53,,,,,,,,,,,
May,2008,0.49,,,,,,,,,,,
June,2008,0.49,,,,,,,,,,,
July,2008,0.6,,,,,,,,,,,
August,2008,0.47,,,,,,,,,,,
September,2008,0.61,,,,,,,,,,,
October,2008,0.65,,,,,,,,,,,
November,2008,0.69,,,,,,,,,,,
December,2008,0.54,,,,,,,,,,,
January,2009,0.65,,,,,,,,,,,
February,2009,0.53,,,,,,,,,,,
March,2009,0.54,,,,,,,,,,,
April,2009,0.6,,,,,,,,,,,
May,2009,0.66,,,,,,,,,,,
June,2009,0.65,,,,,,,,,,,
July,2009,0.71,,,,,,,,,,,
August,2009,0.68,,,,,,,,,,,
September,2009,0.73,,,,,,,,,,,
October,2009,0.66,,,,,,,,,,,
November,2009,0.81,,,,,,,,,,,
December,2009,0.67,,,,,,,,,,,
January,2010,0.75,,,,,,,,,,,
February,2010,0.83,,,,,,,,,,,
March,2010,0.91,,,,,,,,,,,
April,2010,0.84,,,,,,,,,,,
May,2010,0.76,,,,,,,,,,,
June,2010,0.68,,,,,,,,,,,
July,2010,0.64,,,,,,,,,,,
August,2010,0.66,,,,,,,,,,,
September,2010,0.63,,,,,,,,,,,
October,2010,0.7,,,,,,,,,,,
November,2010,0.82,,,,,,,,,,,
December,2010,0.45,,,,,,,,,,,
January,2011,0.52,,,,,,,,,,,
February,2011,0.49,,,,,,,,,,,
March,2011,0.65,,,,,,,,,,,
April,2011,0.65,,,,,,,,,,,
May,2011,0.52,,,,,,,,,,,
June,2011,0.61,,,,,,,,,,,
July,2011,0.71,,,,,,,,,,,
August,2011,0.73,,,,,,,,,,,
September,2011,0.58,,,,,,,,,,,
October,2011,0.66,,,,,,,,,,,
November,2011,0.59,,,,,,,,,,,
December,2011,0.61,,,,,,,,,,,
January,2012,0.5,,,,,,,,,,,
February,2012,0.49,,,,,,,,,,,
March,2012,0.57,,,,,,,,,,,
April,2012,0.71,,,,,,,,,,,
May,2012,0.77,,,,,,,,,,,
June,2012,0.65,,,,,,,,,,,
July,2012,0.58,,,,,,,,,,,
August,2012,0.64,,,,,,,,,,,
September,2012,0.71,,,,,,,,,,,
October,2012,0.79,,,,,,,,,,,
November,2012,0.79,,,,,,,,,,,
December,2012,0.53,,,,,,,,,,,
January,2013,0.71,,,,,,,,,,,
February,2013,0.63,,,,,,,,,,,
March,2013,0.67,,,,,,,,,,,
April,2013,0.56,,,,,,,,,,,
May,2013,0.62,,,,,,,,,,,
June,2013,0.71,,,,,,,,,,,
July,2013,0.61,,,,,,,,,,,
August,2013,0.7,,,,,,,,,,,
September,2013,0.77,,,,,,,,,,,
October,2013,0.69,,,,,,,,,,,
November,2013,0.85,,,,,,,,,,,
December,2013,0.7,,,,,,,,,,,
January,2014,0.76,,,,,,,,,,,
February,2014,0.55,,,,,,,,,,,
March,2014,0.79,,,,,,,,,,,
April,2014,0.81,,,,,,,,,,,
May,2014,0.85,,,,,,,,,,,
June,2014,0.67,,,,,,,,,,,
July,2014,0.59,,,,,,,,,,,
August,2014,0.81,,,,,,,,,,,
September,2014,0.85,,,,,,,,,,,
October,2014,0.8,,,,,,,,,,,
November,2014,0.67,,,,,,,,,,,
December,2014,0.8,,,,,,,,,,,
January,2015,0.85,,,,,,,,,,,
February,2015,0.9,,,,,,,,,,,
March,2015,0.96,,,,,,,,,,,
April,2015,0.77,,,,,,,,,,,
May,2015,0.79,,,,,,,,,,,
June,2015,0.81,,,,,,,,,,,
July,2015,0.75,,,,,,,,,,,
August,2015,0.83,,,,,,,,,,,
September,2015,0.84,,,,,,,,,,,
October,2015,1.08,,,,,,,,,,,
November,2015,1.06,,,,,,,,,,,
December,2015,1.16,,,,,,,,,,,
January,2016,1.17,,,,,,,,,,,
February,2016,1.37,,,,,,,,,,,
March,2016,1.36,,,,,,,,,,,
April,2016,1.12,,,,,,,,,,,
May,2016,0.96,,,,,,,,,,,
June,2016,0.82,,,,,,,,,,,
July,2016,0.84,,,,,,,,,,,
August,2016,1.01,,,,,,,,,,,
September,2016,0.91,,,,,,,,,,,
October,2016,0.88,,,,,,,,,,,
November,2016,0.91,,,,,,,,,,,
December,2016,0.86,,,,,,,,,,,
January,2017,1.02,,,,,,,,,,,
February,2017,1.14,,,,,,,,,,,
March,2017,1.16,,,,,,,,,,,
April,2017,0.94,,,,,,,,,,,
May,2017,0.9,,,,,,,,,,,
June,2017,0.72,,,,,,,,,,,
July,2017,0.82,,,,,,,,,,,
August,2017,0.87,,,,,,,,,,,
September,2017,0.79,,,,,,,,,,,
October,2017,0.9,,,,,,,,,,,
November,2017,0.88,,,,,,,,,,,
December,2017,0.94,,,,,,,,,,,
January,2018,0.82,,,,,,,,,,,
February,2018,0.85,,,,,,,,,,,
March,2018,0.9,,,,,,,,,,,
April,2018,0.9,,,,,,,,,,,
May,2018,0.83,,,,,,,,,,,
June,2018,0.78,,,,,,,,,,,
July,2018,0.83,,,,,,,,,,,
August,2018,0.77,,,,,,,,,,,
September,2018,0.8,,,,,,,,,,,
October,2018,1.01,,,,,,,,,,,
November,2018,0.83,,,,,,,,,,,
December,2018,0.92,,,,,,,,,,,
January,2019,0.93,,,,,,,,,,,
February,2019,0.96,,,,,,,,,,,
March,2019,1.18,,,,,,,,,,,
April,2019,1.02,,,,,,,,,,,
May,2019,0.86,,,,,,,,,,,
June,2019,0.92,,,,,,,,,,,
July,2019,0.94,,,,,,,,,,,
August,2019,0.94,,,,,,,,,,,
September,2019,0.92,,,,,,,,,,,
October,2019,1.02,,,,,,,,,,,
November,2019,1,,,,,,,,,,,
December,2019,1.1,,,,,,,,,,,
