Group,Variable,Value,,,,,,,,,,,
March,1906,-0.17,,,,,,,,,,,
April,1906,-0.04,,,,,,,,,,,
May,1906,-0.25,,,,,,,,,,,
June,1906,-0.19,,,,,,,,,,,
July,1906,-0.23,,,,,,,,,,,
August,1906,-0.19,,,,,,,,,,,
September,1906,-0.28,,,,,,,,,,,
October,1906,-0.19,,,,,,,,,,,
November,1906,-0.36,,,,,,,,,,,
December,1906,-0.14,,,,,,,,,,,
January,1907,-0.42,,,,,,,,,,,
February,1907,-0.5,,,,,,,,,,,
March,1907,-0.27,,,,,,,,,,,
April,1907,-0.36,,,,,,,,,,,
May,1907,-0.46,,,,,,,,,,,
June,1907,-0.41,,,,,,,,,,,
July,1907,-0.35,,,,,,,,,,,
August,1907,-0.34,,,,,,,,,,,
September,1907,-0.34,,,,,,,,,,,
October,1907,-0.23,,,,,,,,,,,
November,1907,-0.47,,,,,,,,,,,
December,1907,-0.47,,,,,,,,,,,
January,1908,-0.44,,,,,,,,,,,
February,1908,-0.32,,,,,,,,,,,
March,1908,-0.56,,,,,,,,,,,
April,1908,-0.44,,,,,,,,,,,
May,1908,-0.37,,,,,,,,,,,
June,1908,-0.38,,,,,,,,,,,
July,1908,-0.35,,,,,,,,,,,
August,1908,-0.46,,,,,,,,,,,
September,1908,-0.36,,,,,,,,,,,
October,1908,-0.44,,,,,,,,,,,
November,1908,-0.51,,,,,,,,,,,
December,1908,-0.49,,,,,,,,,,,
January,1909,-0.72,,,,,,,,,,,
February,1909,-0.46,,,,,,,,,,,
March,1909,-0.55,,,,,,,,,,,
April,1909,-0.59,,,,,,,,,,,
May,1909,-0.55,,,,,,,,,,,
June,1909,-0.52,,,,,,,,,,,
July,1909,-0.45,,,,,,,,,,,
August,1909,-0.34,,,,,,,,,,,
September,1909,-0.38,,,,,,,,,,,
October,1909,-0.4,,,,,,,,,,,
November,1909,-0.33,,,,,,,,,,,
December,1909,-0.56,,,,,,,,,,,
January,1910,-0.43,,,,,,,,,,,
February,1910,-0.41,,,,,,,,,,,
March,1910,-0.5,,,,,,,,,,,
April,1910,-0.43,,,,,,,,,,,
May,1910,-0.34,,,,,,,,,,,
June,1910,-0.38,,,,,,,,,,,
July,1910,-0.34,,,,,,,,,,,
August,1910,-0.36,,,,,,,,,,,
September,1910,-0.39,,,,,,,,,,,
October,1910,-0.41,,,,,,,,,,,
November,1910,-0.54,,,,,,,,,,,
December,1910,-0.67,,,,,,,,,,,
January,1911,-0.62,,,,,,,,,,,
February,1911,-0.57,,,,,,,,,,,
March,1911,-0.61,,,,,,,,,,,
April,1911,-0.53,,,,,,,,,,,
May,1911,-0.51,,,,,,,,,,,
June,1911,-0.49,,,,,,,,,,,
July,1911,-0.41,,,,,,,,,,,
August,1911,-0.43,,,,,,,,,,,
September,1911,-0.41,,,,,,,,,,,
October,1911,-0.26,,,,,,,,,,,
November,1911,-0.21,,,,,,,,,,,
December,1911,-0.21,,,,,,,,,,,
January,1912,-0.25,,,,,,,,,,,
February,1912,-0.13,,,,,,,,,,,
March,1912,-0.37,,,,,,,,,,,
April,1912,-0.17,,,,,,,,,,,
May,1912,-0.21,,,,,,,,,,,
June,1912,-0.23,,,,,,,,,,,
July,1912,-0.42,,,,,,,,,,,
August,1912,-0.54,,,,,,,,,,,
September,1912,-0.57,,,,,,,,,,,
October,1912,-0.57,,,,,,,,,,,
November,1912,-0.39,,,,,,,,,,,
December,1912,-0.43,,,,,,,,,,,
January,1913,-0.4,,,,,,,,,,,
February,1913,-0.45,,,,,,,,,,,
March,1913,-0.43,,,,,,,,,,,
April,1913,-0.39,,,,,,,,,,,
May,1913,-0.44,,,,,,,,,,,
June,1913,-0.45,,,,,,,,,,,
July,1913,-0.36,,,,,,,,,,,
August,1913,-0.32,,,,,,,,,,,
September,1913,-0.34,,,,,,,,,,,
October,1913,-0.32,,,,,,,,,,,
November,1913,-0.2,,,,,,,,,,,
December,1913,-0.02,,,,,,,,,,,
January,1914,0.05,,,,,,,,,,,
February,1914,-0.09,,,,,,,,,,,
March,1914,-0.24,,,,,,,,,,,
April,1914,-0.29,,,,,,,,,,,
May,1914,-0.21,,,,,,,,,,,
June,1914,-0.25,,,,,,,,,,,
July,1914,-0.24,,,,,,,,,,,
August,1914,-0.16,,,,,,,,,,,
September,1914,-0.17,,,,,,,,,,,
October,1914,-0.03,,,,,,,,,,,
November,1914,-0.15,,,,,,,,,,,
December,1914,-0.04,,,,,,,,,,,
January,1915,-0.21,,,,,,,,,,,
February,1915,-0.03,,,,,,,,,,,
March,1915,-0.09,,,,,,,,,,,
April,1915,0.06,,,,,,,,,,,
May,1915,-0.06,,,,,,,,,,,
June,1915,-0.22,,,,,,,,,,,
July,1915,-0.12,,,,,,,,,,,
August,1915,-0.21,,,,,,,,,,,
September,1915,-0.2,,,,,,,,,,,
October,1915,-0.24,,,,,,,,,,,
November,1915,-0.12,,,,,,,,,,,
December,1915,-0.21,,,,,,,,,,,
January,1916,-0.12,,,,,,,,,,,
February,1916,-0.14,,,,,,,,,,,
March,1916,-0.28,,,,,,,,,,,
April,1916,-0.3,,,,,,,,,,,
May,1916,-0.34,,,,,,,,,,,
June,1916,-0.49,,,,,,,,,,,
July,1916,-0.37,,,,,,,,,,,
August,1916,-0.27,,,,,,,,,,,
September,1916,-0.36,,,,,,,,,,,
October,1916,-0.32,,,,,,,,,,,
November,1916,-0.46,,,,,,,,,,,
December,1916,-0.81,,,,,,,,,,,
January,1917,-0.57,,,,,,,,,,,
February,1917,-0.63,,,,,,,,,,,
March,1917,-0.64,,,,,,,,,,,
April,1917,-0.55,,,,,,,,,,,
May,1917,-0.55,,,,,,,,,,,
June,1917,-0.43,,,,,,,,,,,
July,1917,-0.25,,,,,,,,,,,
August,1917,-0.22,,,,,,,,,,,
September,1917,-0.23,,,,,,,,,,,
October,1917,-0.44,,,,,,,,,,,
November,1917,-0.34,,,,,,,,,,,
December,1917,-0.67,,,,,,,,,,,
January,1918,-0.47,,,,,,,,,,,
February,1918,-0.34,,,,,,,,,,,
March,1918,-0.25,,,,,,,,,,,
April,1918,-0.44,,,,,,,,,,,
May,1918,-0.43,,,,,,,,,,,
June,1918,-0.36,,,,,,,,,,,
July,1918,-0.31,,,,,,,,,,,
August,1918,-0.31,,,,,,,,,,,
September,1918,-0.18,,,,,,,,,,,
October,1918,-0.06,,,,,,,,,,,
November,1918,-0.11,,,,,,,,,,,
December,1918,-0.29,,,,,,,,,,,
January,1919,-0.2,,,,,,,,,,,
February,1919,-0.24,,,,,,,,,,,
March,1919,-0.21,,,,,,,,,,,
April,1919,-0.12,,,,,,,,,,,
May,1919,-0.28,,,,,,,,,,,
June,1919,-0.36,,,,,,,,,,,
July,1919,-0.29,,,,,,,,,,,
August,1919,-0.33,,,,,,,,,,,
September,1919,-0.26,,,,,,,,,,,
October,1919,-0.2,,,,,,,,,,,
November,1919,-0.41,,,,,,,,,,,
December,1919,-0.42,,,,,,,,,,,
